Stud_Nr	Sex	Date	Energy (kcal)	Alcohol (g)	Caffeine (mg)	Water (g)	B1 (Thiamine) (mg)	B2 (Riboflavin) (mg)	B3 (Niacin) (mg)	B5 (Pantothenic Acid) (mg)	B6 (Pyridoxine) (mg)	B12 (Cobalamin) (µg)	Folate (µg)	Vitamin A (µg)	Vitamin C (mg)	Vitamin D (IU)	Vitamin E (mg)	Vitamin K (Âµg)	Calcium (mg)	Copper (mg)	Iron (mg)	Magnesium (mg)	Manganese (mg)	Phosphorus (mg)	Potassium (mg)	Selenium (µg)	Sodium (mg)	Zinc (mg)	Carbs (g)	Fiber (g)	Starch (g)	Sugars (g)	Added Sugars (g)	Net Carbs (g)	Fat (g)	Cholesterol (mg)	Mono-unsaturated (g)	Poly-unsaturated (g)	Saturated (g)	Trans-Fats (g)	Omega-3 (g)	Omega-6 (g)	Cystine (g)	Histidine (g)	Isoleucine (g)	Leucine (g)	Lysine (g)	Methionine (g)	Phenyl-alanine (g)	Protein (g)	Threonine (g)	Tryptophan (g)	Tyrosine (g)	Valine (g)	Completed	BMR (kcal)
6	female	18.09.2024	1529.0	0.0	17.8	384.2	1.3	2.1	12.0	3.8	1.9	1.4	995	2635.4	195.5	40.5	15.3	2005.6	1264.3	1.7	22.8	536.0	6.4	1071.0	3758.0	106.0	2116.0	9.3	154.0	35.0	63.4	35.0	2..4	118.4	45.0	163.0	17.9	5.8	16.1	0.7	1.2	4.0	0.7	1.5	2.7	4.6	3.4	1.1	2.7	62.9	2.4	0.9	2.1	3.2	FALSE	1316.0
30	Female	18.09.2024	1816.0	6.2	20.4	3580.0	2.3	2.4	36.0	8.3	3.5	4.4	417	1269.5	217.4	5233.9	54.2	253.6	554.0	1.3	12.4	339.9	3.3	1530.6	4169.9	176.1	1774.0	11.5	181.9	26.8	52.3	86.3	8.8	154.1	57.2	688.1	15.8	9.3	20.3	0.3	37.1	7.7	1.7	3.9	5.6	9.1	9.2	3.0	5.0	137.9	5.0	1.4	4.2	6.0	FALSE	1338.0
14	Female 	30.08.2024	1573.54	0.01	1.55	2365.35	1.77	1.27	16.18	3.95	1.28	2.79	390.24	859.49	135.17	66.42	5.83	103.11	626.34	45292.0	12.46	331.4	5.91	1294.58	1942.44	148.81	1836.42	10.0	224.11	25.48	147.27	37.75	8.82	197.68	45.32	114.43	45306.0	9.52	15.73	0.86	1.19	7.77	1.58	2.15	3.95	45329.0	5.54	1.78	3.76	89.85	45446.0	1.33	2.67	4.44	FALSE	1429.4
144	Female	18.09.2024	1925.14	0.00	125.50	2128.32	0.76	0.98	14.18	3.32	1.13	2.13	296.71	315.48	4845.58	70.07	4.26	110.35	8461.27	45627.0	45574.0	6957.38	3.63	622.08	3507.31	65.42	4802.94	4.36	168.15	26.76	48.54	79.59	3.24	140.40	106.21	105.37	14.40	45419.0	58.26	0.02	0.96	4.64	0.55	0.99	1.73	2.96	2.36	0.74	1.79	84.12	1.53	0.44	1.23	1.97		
25	Male	11.09.2024	2379.74	10.32	13.58	3242.97	1.41	1.53	15.36	3.71	1.55	1.22	498.45	3294.7	209.12	50.74	14.74	201.08	799.96	1.46	14.18	316.15	05.05	808.39	2293.34	97.65	2548.97	7.57	329.25	41.29	135.75	122.25	62.7	328.4	70.31	26.98	13.99	12.33	14.93	0.3	1.27	8.61	0.76	01.01	1.68	2.9	1.77	0.68	1.93	106.25	1.55	0.51	1.17	02.03	FALSE	1905.0
19	Female	20.08.2024	1661.55	0.34	43.64	2699.01	1.33	1.35	16.24	4.56	1.89	1.41	402.68	2157.29	267.82	30.57	9.28	157.45	577.12	1.15	10.08	282.75	3.46	944.37	3180.02	97.33	1684.58	7.66	253.48	35.85	98.32	102.59	17.41	213.86	53.65	117.95	18.59	11.74	17.24	0.85	0.82	7.7	0.97	1.45	2.46	4.25	3.24	01.08	2.48	58.69	2.41	0.73	1.7	2.78	FALSE	1468.9
7	Female	18.09.2024	2351.24	5.47	208.10	3834.47	02.04	2.49	36.05	8.87	2.73	04.04	505.06	1170.97	197.16	144.63	14.52	264.41	709.41	1.98	17.13	425.43	05.02	1675.38	5421.10	170.68	1787.88	15.03	298.11	43.18	97.16	137.85	11.38	249.33	70.44	475.14	24.67	13.28	22.35	0.78	1.24	11.27	1.85	3.53	5.49	9.53	9.14	2.79	5.14	140.52	05.08	1.56	3.99	6.18	FALSE	
38	Female	17.09.2024	1607.69	0.02	22.25	1016.29	0.96	1.43	23.53	04.05	2.38	4.25	210.35	2351.27	181.00	137.18	5.10	117.82	694.64	0.94	14.30	286.69	03.01	1256.58	2567.80	101.30	1523.25	11.85	221.70	25.77	61.30	79.09	18.23	195.02	48.25	203.92	12.45	5.56	20.54	1.11	0.57	4.33	0.94	2.50	3.65	6.26	6.17	1.91	3.32	86.92	3.34	0.93	2.80	04.01	FALSK	1320.2
23	Female	18.09.2024	2273.64	0	7.74	2373.33	1.92	2.6	26.46	6.37	2.74	4.52	1005.51	1934.47	240.32	208.15	23.46	968.96	1152.41	2.38	19.5	699.94	5.84	2028.22	6169.42	143.93	2573.44	13.32	278.87	57.94	122.38	85.01	8.56	217.47	73.82	238.95	31.96	14.62	17.3	0.75	1.8	10.3	1.66	3.17	5.6	9.8	9.44	2.77	5	152.48	5.19	1.69	3.89	6.21	FALSE	1478.0
16	Female 	2024-10-09	1730.40.00	15.28	286.00.00	1692.34.00	02.16	02.40	23.02	05.53	01.46	04.18	691.27.00	505.03.00	110.02.00	314.20.00	08.26	268.50.00	711.20.00	01.45	14.52	337.35.00	05.23	1080.10.00	2752.36.00	131.01.00	3089.32.00	07.51	227.06.00	37.51.00	135.04.00	32.33.00	07.42	188.57.00	52.47.00	63.25.00	15.05	19.20	11.03	00.27	03.13	15.55	01.36	01.59	02.56	04.54	04.02	01.26	03.30	70.09.00	02.24	01.11	02.20	03.35	FALSE	1431.2
13	female	2024/9/18	1568.92	2.21	1.5	1897.11	03.05	3.12	10.88	14.1	3.1	5.62	828.66	1158.54	135.81	1448.28	16.16	117.31	1680.61	1.3	25.02	295.97	5.71	1061.31	1759.17	146.2	1112.54	15.07	191.44	17.31	97.51	66.45	20.52	173.35	52.59	336.72	16.96	11.92	16.51	0.84	1.57	9.68	1.16	1.95	3.25	5.49	4.84	1.69	3.17	79.67	2.77	0.83	2.42	3.64	FALSE	
66	female	17/09/2024	1911.45	0.0	210.0	2838.41	1.16	1.62	25.05	4.36	02.04	3.35	357.49	463.59	50.55	123.4	13.94	246.84	689.94	0.95	11.5	258.14	3.39	1155.4	1989.19	109.78	8198.72	10.04	172.94	19.23	82.83	57.29	4.89	151.15	98.4	291.72	59.45	12.13	21.01	0.76	01.01	10.84	1.18	2.58	3.94	6.85	6.54	2.11	3.75	90.21	3.48	01.02	03.02	4.37	FALSE	1575.0
11	female	19.09.2024	1865.0	0.0	148.1	2626.5	1.6	1.6	13.2	5.6	2.0	101.3	630	450.5	334.1	3068.3	9.5	248.2	592.4	1.9	41.9	462.2	6.8	1150.4	4382.9	70.7	1311.8	9.1	3.5	60.2	112.4	120.	7.0	242.8	56.6	164.3	20.4	10.1	11.6	0.0	1.4	8.4	1.1	1.5	2.6	4.6	3.5	0.9	3.1	73.6	2.2	0.7	1.8	3.1		1352.9
