Stud_Nr	Sex	Date	Energy kcal	Alcohol g	Caffeine mg	Water g	B1 Thiamine mg	B2 Riboflavin mg	B3 Niacin mg	B5 Pantothenic Acid mg	B6 Pyridoxine mg	B12 Cobalamin µg	Folate µg	Vitamin A µg	Vitamin C mg	Vitamin D IU	Vitamin E mg	Vitamin K µg	Calcium mg	Copper mg	Iron mg	Magnesium mg	Manganese mg	Phosphorus mg	Potassium mg	Selenium µg	Sodium mg	Zinc mg	Carbs g	Fiber g	Starch g	Sugars g	Added Sugars g	Net Carbs g	"Fat g"	Cholesterol mg	Mono-unsaturated g	Poly-unsaturated g	Saturated g	Trans-Fats g	Omega-3 g	Omega-6 g	Cystine g	Histidine g	Isoleucine g	Leucine g	Lysine g	Methionine g	Phenyl-alanine g	Protein g	Threonine g	Tryptophan g	Tyrosine g	Valine g	Completed	BMR kcal
18	female	17/09/2024	1768	0.0	47	4188	1.3	2.2	19	4.8	1.7	5.8	882	942	178	356	17.5	284	1144	1.2	20.5	239	4.2	1239	2211	107	6480	5.3	213	25	125	56	17	188	77	133	36	20	15	0.3	1.9	17.8	1.5	1.7	2.7	4.9	3.9	1.4	3.2	66	2.5	0.8	2.2	3.2	FALSE	1359
19	female	17.09.2025	1451	0.3	0	2497	1.5	2.0	14	4.6	1.5	2.6	458	2411	93	108	7.0	116	882	1.0	12.4	259	3.3	1038	2618	103	4746	7.7	222	34	84	94	13	181	39	271	13	9	12	0.4	1.7	5.5	1.1	1.7	3.1	5.2	4.2	1.4	3.1	64	2.8	0.8	2.4	3.5	FALSE	1469
20	female	18/09/2024	2142	0.9	0	2220	1.7	1.4	21	3.5	2.0	1.2	487	246	108	13	3.3	63	669	1.8	17.8	285	5.3	995	2558	81	1781	9.2	262	41	93	99	13	221	104	92	10	9	70	0.4	0.9	6.4	0.9	1.5	2.5	4.9	3.9	1.2	2.5	74	2.9	0.7	1.7	2.8	FALSE	1406
22	female	23/09/2024	2554	0.0	1	2790	1.7	2.2	50	6.9	3.6	3.1	498	1273	120	58	7.9	150	1240	1.7	17.7	422	4.6	1938	3331	207	5167	14.9	336	31	161	108	18	303	100	448	32	11	46	2.3	1.3	8.2	2.3	4.8	8.9	12.7	12.2	3.9	7.3	175	6.7	2.5	5.5	8.4	FALSE
23	female	17.09.2024	1717	0.3	111	2570	1.1	1.9	7	3.6	1.1	4.8	173	1460	16	198	9.9	111	1212	0.9	6.3	289	4.5	1462	2279	75	1213	8.8	163	19	44	84	58	144	80	166	21	14	37	2.8	0.7	10.1	1.4	2.0	4.1	7.5	6.3	1.9	3.6	87	3.9	1.5	3.0	4.6		1478
24	female	2024-08-24	1647	0.0	190	2521	1.5	1.6	15	4.2	1.4	1.2	384	1646	33	22	11.7	169	856	1.3	9.8	334	5.3	945	3062	87	1757	6.9	211	31	115	46	3	179	73	78	23	10	27	1.0	0.8	8.7	0.8	1.2	1.8	3.4	2.2	0.8	2.2	51	1.7	0.5	1.5	2.3	FALSE	1323
29	female	21/9/24	2385	0.1	198	3127	0.8	2.2	10	3.7	1.2	2.7	819	984	62	221	18.8	413	1278	1.7	11.2	476	5.6		3033	27	852	8.3	270	30	7	67	4	238	112	169	33	15	45	1.9	1.2	12.7	0.6	1.4	2.1	4.1	3.3	0.9	2.6	88	2.3	0.7	1.9	2.5
30	female	17/09/2024	1848	0.0	254	3372	1.9	2.5	36	8.4	2.5	4.8	309	892	157	170	5.4	69	692	1.4	12.3	358	4.2	1570	3847	144	2191	12.8	198	34	43	94	4	158	52	648	12	8	17	0.4	0.7	6.5	2.1	3.8	6.5	11.3	11.4	3.5	5.7	156	6.8	1.9	4.7	6.8	FALSE	1338
31	female	17/92024	3210	0.0	237	1936	1.8	2.5	27	6.7	1.4	7.6	376	1113	9	425	7.3	153		1.6	16.9	429	6.8	2045	3557	206	3535	12.2	357	46	148	141	44	301	141	299	29	28	57	1.8	1.7	12.8	1.7	2.9	5.2	9.5	8.2	2.5	5.1	144	4.7	1.6	3.9	5.9	FALSE	1400
34	female	17/09-24	3950	24.9	87	2786	2.9	3.2	50	9.6	7.8	10.7	1195	1163	169	126	10.9	69	2262	1.2	18.7	350	3.2	2074	2792	200	6521	18.6	401	18	157	152	105	383	177	465	45	16	81	4.1	2.4	11.9	1.3	3.2	5.4	9.5	6.8	2.6	5.4	146	4.8	1.8	4.6	6.2	FALSE	1530
